
========================================
Start Time             : 2026-07-21T01:19:47.853167
========================================
45 | getMaxSumApproach2 | branch | 100.00% | 5.62ms | 94.68MB | 2 cases
45 | getMaxSumApproach2 | mcdc | 100.00% | 5.69ms | 197.17MB | 2 cases
52 | maxSumKSizeSubarray | branch | 100.00% | 3.66ms | 147.81MB | 2 cases
52 | maxSumKSizeSubarray | mcdc | 100.00% | 3.07ms | 103.42MB | 2 cases
71 | minimumWaitingTime | branch | 100.00% | 3.46ms | 204.42MB | 2 cases
71 | minimumWaitingTime | mcdc | 100.00% | 3.27ms | 165.90MB | 2 cases
13 | minSumKSizeSubarray | branch | 100.00% | 3.09ms | 141.65MB | 2 cases
13 | minSumKSizeSubarray | mcdc | 100.00% | 3.30ms | 115.12MB | 2 cases
54 | nthManShanksPrime | branch | 100.00% | 1.91ms | 215.62MB | 1 cases
54 | nthManShanksPrime | mcdc | 100.00% | 1.93ms | 186.89MB | 1 cases


35 | buildPrefixSum | branch | 100.00% | 3.06ms | 167.81MB | 2 cases
35 | buildPrefixSum | mcdc | 100.00% | 3.18ms | 158.95MB | 2 cases
36 | sumRange | branch | 100.00% | 1.80ms | 164.70MB | 3 cases
36 | sumRange | mcdc | 100.00% | 3.45ms | 184.03MB | 5 cases
25 | cutRod | branch | 100.00% | 10.09ms | 186.87MB | 3 cases
25 | cutRod | mcdc | 100.00% | 10.89ms | 130.26MB | 4 cases
29 | stdDev | branch | 100.00% | 4.16ms | 149.70MB | 1 cases
29 | stdDev | mcdc | 100.00% | 4.21ms | 161.49MB | 1 cases
82 | subsetSum | branch | 83.33% | 6.47ms | 152.96MB | 2 cases
82 | subsetSum | mcdc | 87.50% | 5.82ms | 128.75MB | 2 cases
69 | isSubsetSum | branch | 75.00% | 77.08ms | 125.35MB | 4 cases
69 | isSubsetSum | mcdc | 80.00% | 83.65ms | 127.15MB | 4 cases
31 | subsetSum | branch | 83.33% | 2.87ms | 195.78MB | 4 cases
31 | subsetSum | mcdc | 80.00% | 3.82ms | 152.87MB | 5 cases
42 | isPairedSum | branch | 100.00% | 5.29ms | 120.05MB | 4 cases
42 | isPairedSum | mcdc | 100.00% | 5.86ms | 128.30MB | 4 cases
58 | wpRecursion | branch | 100.00% | 1.51ms | 121.42MB | 2 cases
58 | wpRecursion | mcdc | 100.00% | 1.58ms | 125.93MB | 2 cases


60 | wpbu | branch | 100.00% | 22.84ms | 128.06MB | 2 cases
60 | wpbu | mcdc | 100.00% | 23.20ms | 203.93MB | 3 cases
61 | isPalindrome | branch | 100.00% | 3.00ms | 114.18MB | 3 cases
61 | isPalindrome | mcdc | 100.00% | 3.85ms | 123.26MB | 4 cases
84 | bubbleSort | branch | 75.00% | 3.11ms | 129.53MB | 2 cases
84 | bubbleSort | mcdc | 75.00% | 3.63ms | 199.11MB | 2 cases
80 | binarySearch | branch | 100.00% | 3.17ms | 111.64MB | 4 cases
80 | binarySearch | mcdc | 100.00% | 3.44ms | 117.01MB | 4 cases
47 | search | branch | 100.00% | 2.10ms | 94.41MB | 3 cases
47 | search | mcdc | 100.00% | 2.04ms | 178.12MB | 3 cases
11 | sort | branch | 100.00% | 4.64ms | 104.96MB | 2 cases
11 | sort | mcdc | 100.00% | 5.09ms | 169.29MB | 2 cases
89 | selectionSort | branch | 100.00% | 11.86ms | 110.71MB | 2 cases
89 | selectionSort | mcdc | 100.00% | 12.27ms | 211.71MB | 2 cases

========================================
Start Time             : 2026-07-21T02:13:47.223526
========================================
49 | findNthCatalan | statement | 100.00% | 7.52ms | 116.37MB | 1 cases
3 | change | statement | 100.00% | 3.61ms | 150.83MB | 1 cases
4 | minimumCoins | statement | 100.00% | 11.36ms | 150.80MB | 1 cases
27 | convolution | statement | 100.00% | 22.21ms | 132.22MB | 1 cases
19 | correlation | statement | 95.83% | 4.38ms | 93.26MB | 1 cases
21 | countFriendsPairing | statement | 91.67% | 2.84ms | 194.90MB | 2 cases
15 | countNiceSubarrays | statement | 52.17% | 5.21ms | 187.90MB | 2 cases
9 | crossCorrelation | statement | 100.00% | 32.81ms | 170.08MB | 1 cases
78 | findMax | statement | 100.00% | 3.59ms | 137.74MB | 3 cases
91 | max | statement | 100.00% | 2.41ms | 123.90MB | 3 cases
87 | findMin | statement | 100.00% | 10.50ms | 205.30MB | 3 cases
67 | min | statement | 100.00% | 2.22ms | 175.74MB | 3 cases
93 | maxSum | statement | 100.00% | 5.53ms | 154.57MB | 2 cases
56 | find | statement | 90.00% | 3.24ms | 144.63MB | 4 cases
38 | compute | statement | 100.00% | 4.75ms | 210.33MB | 6 cases
33 | getLongestArithmeticSubsequenceLength | statement | 100.00% | 24.04ms | 210.35MB | 3 cases
6 | lowerBound | statement | 100.00% | 2.45ms | 207.43MB | 2 cases
76 | longestSubarrayWithSumLEK | statement | 100.00% | 4.75ms | 201.50MB | 1 cases
23 | maxProduct | statement | 100.00% | 8.73ms | 199.86MB | 3 cases
44 | getMaxSumApproach1 | statement | 100.00% | 5.74ms | 201.08MB | 2 cases
45 | getMaxSumApproach2 | statement | 100.00% | 6.02ms | 207.32MB | 2 cases
52 | maxSumKSizeSubarray | statement | 100.00% | 4.90ms | 214.03MB | 2 cases
71 | minimumWaitingTime | statement | 100.00% | 3.32ms | 175.91MB | 2 cases
13 | minSumKSizeSubarray | statement | 100.00% | 3.01ms | 144.33MB | 2 cases
54 | nthManShanksPrime | statement | 100.00% | 1.94ms | 139.62MB | 1 cases

35 | buildPrefixSum | statement | 100.00% | 3.37ms | 158.45MB | 2 cases
36 | sumRange | statement | 100.00% | 1.81ms | 177.72MB | 3 cases
25 | cutRod | statement | 100.00% | 9.39ms | 197.74MB | 3 cases
29 | stdDev | statement | 100.00% | 5.26ms | 214.97MB | 1 cases
82 | subsetSum | statement | 92.31% | 43.30ms | 226.03MB | 2 cases
69 | isSubsetSum | statement | 83.33% | 5.23ms | 190.95MB | 2 cases
31 | subsetSum | statement | 66.67% | 2.03ms | 111.75MB | 2 cases
42 | isPairedSum | statement | 100.00% | 6.46ms | 159.41MB | 4 cases
58 | wpRecursion | statement | 100.00% | 2.63ms | 206.17MB | 3 cases

60 | wpbu | statement | 100.00% | 22.50ms | 192.86MB | 2 cases
61 | isPalindrome | statement | 100.00% | 4.05ms | 181.55MB | 3 cases
84 | bubbleSort | statement | 72.22% | 2.53ms | 170.74MB | 1 cases
80 | binarySearch | statement | 100.00% | 4.80ms | 171.45MB | 4 cases
47 | search | statement | 100.00% | 2.72ms | 170.60MB | 3 cases
11 | sort | statement | 100.00% | 4.68ms | 178.96MB | 2 cases
89 | selectionSort | statement | 100.00% | 14.02ms | 175.32MB | 2 cases

========================================
Start Time             : 2026-07-21T15:14:35.802528
========================================
49 | findNthCatalan | statement | 100.00% | 8.23ms | 118.50MB | 1 cases
49 | findNthCatalan | branch | 100.00% | 7.65ms | 133.32MB | 1 cases
49 | findNthCatalan | mcdc | 100.00% | 7.37ms | 80.72MB | 1 cases
3 | change | statement | 100.00% | 4.33ms | 188.24MB | 2 cases
3 | change | branch | 75.00% | 3.39ms | 168.48MB | 1 cases
3 | change | mcdc | 75.00% | 3.69ms | 116.90MB | 1 cases
4 | minimumCoins | statement | 100.00% | 11.23ms | 220.55MB | 1 cases
4 | minimumCoins | branch | 90.00% | 11.16ms | 211.68MB | 1 cases
4 | minimumCoins | mcdc | 0.00% | 11.75ms | 160.23MB | 1 cases
27 | convolution | statement | 100.00% | 20.95ms | 181.18MB | 1 cases
27 | convolution | branch | 100.00% | 21.63ms | 138.42MB | 1 cases
27 | convolution | mcdc | 100.00% | 22.44ms | 94.53MB | 1 cases
19 | correlation | statement | 95.83% | 4.36ms | 199.04MB | 1 cases
19 | correlation | branch | 0.00% | 4.32ms | 161.49MB | 1 cases
19 | correlation | mcdc | 75.00% | 4.35ms | 183.47MB | 1 cases

========================================
Start Time             : 2026-07-21T16:07:39.920224
========================================
49 | findNthCatalan | statement | 100.00% | 7.55ms | 117.14MB | 1 cases
49 | findNthCatalan | branch | 100.00% | 7.57ms | 140.52MB | 1 cases
49 | findNthCatalan | mcdc | 100.00% | 7.74ms | 247.61MB | 1 cases
3 | change | statement | 100.00% | 4.16ms | 161.69MB | 2 cases
3 | change | branch | 75.00% | 3.93ms | 115.56MB | 1 cases
3 | change | mcdc | 75.00% | 3.93ms | 217.99MB | 1 cases
4 | minimumCoins | statement | 100.00% | 11.00ms | 136.63MB | 1 cases
4 | minimumCoins | branch | 90.00% | 11.36ms | 269.63MB | 1 cases
4 | minimumCoins | mcdc | 83.33% | 12.02ms | 183.57MB | 1 cases
27 | convolution | statement | 100.00% | 21.63ms | 106.52MB | 1 cases
27 | convolution | branch | 100.00% | 21.84ms | 207.56MB | 1 cases
27 | convolution | mcdc | 100.00% | 20.71ms | 132.24MB | 1 cases
19 | correlation | statement | 95.83% | 3.97ms | 235.61MB | 1 cases
19 | correlation | branch | 75.00% | 4.05ms | 169.48MB | 1 cases
19 | correlation | mcdc | 75.00% | 4.21ms | 271.32MB | 1 cases
21 | countFriendsPairing | statement | 91.67% | 2.80ms | 200.87MB | 2 cases
21 | countFriendsPairing | branch | 83.33% | 2.73ms | 162.12MB | 2 cases
21 | countFriendsPairing | mcdc | 83.33% | 2.84ms | 262.62MB | 2 cases
15 | countNiceSubarrays | statement | 100.00% | 273.06ms | 200.59MB | 5 cases
15 | countNiceSubarrays | branch | 100.00% | 263.55ms | 172.60MB | 6 cases
15 | countNiceSubarrays | mcdc | 91.67% | 9.54ms | 130.14MB | 5 cases
9 | crossCorrelation | statement | 100.00% | 26.57ms | 236.89MB | 1 cases
9 | crossCorrelation | branch | 100.00% | 27.37ms | 191.14MB | 1 cases
9 | crossCorrelation | mcdc | 100.00% | 25.06ms | 145.84MB | 1 cases
78 | findMax | statement | 100.00% | 3.83ms | 246.84MB | 3 cases
78 | findMax | branch | 100.00% | 3.94ms | 204.62MB | 3 cases
78 | findMax | mcdc | 100.00% | 3.84ms | 162.13MB | 3 cases
91 | max | statement | 100.00% | 2.02ms | 263.62MB | 3 cases
91 | max | branch | 100.00% | 2.02ms | 220.12MB | 3 cases
91 | max | mcdc | 100.00% | 1.99ms | 189.29MB | 3 cases
87 | findMin | statement | 100.00% | 4.30ms | 160.42MB | 3 cases
87 | findMin | branch | 100.00% | 3.74ms | 212.58MB | 3 cases
87 | findMin | mcdc | 100.00% | 4.66ms | 232.92MB | 3 cases
67 | min | statement | 100.00% | 2.53ms | 213.83MB | 3 cases
67 | min | branch | 100.00% | 2.39ms | 205.76MB | 3 cases
67 | min | mcdc | 100.00% | 2.91ms | 201.88MB | 3 cases
93 | maxSum | statement | 100.00% | 11.59ms | 262.53MB | 2 cases
93 | maxSum | branch | 100.00% | 4.81ms | 214.78MB | 2 cases
93 | maxSum | mcdc | 100.00% | 4.76ms | 198.00MB | 2 cases
56 | find | statement | 90.00% | 3.27ms | 183.36MB | 4 cases
56 | find | branch | 83.33% | 4.11ms | 224.83MB | 5 cases
56 | find | mcdc | 70.00% | 8.75ms | 157.67MB | 6 cases
38 | compute | statement | 100.00% | 4.77ms | 167.83MB | 6 cases
38 | compute | branch | 100.00% | 5.17ms | 172.04MB | 6 cases
38 | compute | mcdc | 100.00% | 9.10ms | 189.87MB | 10 cases
33 | getLongestArithmeticSubsequenceLength | statement | 100.00% | 15.05ms | 185.29MB | 3 cases
33 | getLongestArithmeticSubsequenceLength | branch | 100.00% | 15.54ms | 196.11MB | 3 cases
33 | getLongestArithmeticSubsequenceLength | mcdc | 100.00% | 15.96ms | 212.84MB | 3 cases
6 | lowerBound | statement | 100.00% | 2.45ms | 203.67MB | 2 cases
6 | lowerBound | branch | 100.00% | 6.06ms | 133.85MB | 2 cases
6 | lowerBound | mcdc | 100.00% | 2.60ms | 124.26MB | 2 cases
76 | longestSubarrayWithSumLEK | statement | 100.00% | 4.63ms | 130.79MB | 1 cases
76 | longestSubarrayWithSumLEK | branch | 100.00% | 5.45ms | 201.14MB | 1 cases
76 | longestSubarrayWithSumLEK | mcdc | 83.33% | 5.07ms | 115.21MB | 1 cases
23 | maxProduct | statement | 100.00% | 5.66ms | 216.20MB | 3 cases
23 | maxProduct | branch | 100.00% | 5.81ms | 118.68MB | 3 cases
23 | maxProduct | mcdc | 100.00% | 7.09ms | 222.68MB | 4 cases
44 | getMaxSumApproach1 | statement | 100.00% | 12.45ms | 119.99MB | 2 cases
44 | getMaxSumApproach1 | branch | 100.00% | 4.46ms | 99.20MB | 2 cases
44 | getMaxSumApproach1 | mcdc | 100.00% | 4.72ms | 172.12MB | 2 cases
45 | getMaxSumApproach2 | statement | 100.00% | 5.36ms | 111.23MB | 2 cases
45 | getMaxSumApproach2 | branch | 100.00% | 5.54ms | 214.23MB | 2 cases
45 | getMaxSumApproach2 | mcdc | 100.00% | 5.37ms | 124.40MB | 2 cases
52 | maxSumKSizeSubarray | statement | 100.00% | 3.20ms | 226.90MB | 2 cases
52 | maxSumKSizeSubarray | branch | 100.00% | 5.89ms | 117.28MB | 2 cases
52 | maxSumKSizeSubarray | mcdc | 100.00% | 3.21ms | 218.27MB | 2 cases
71 | minimumWaitingTime | statement | 100.00% | 3.33ms | 120.05MB | 2 cases
71 | minimumWaitingTime | branch | 100.00% | 3.30ms | 222.56MB | 2 cases
71 | minimumWaitingTime | mcdc | 100.00% | 3.35ms | 124.76MB | 2 cases
13 | minSumKSizeSubarray | statement | 100.00% | 3.24ms | 228.26MB | 2 cases
13 | minSumKSizeSubarray | branch | 100.00% | 3.22ms | 121.40MB | 2 cases
13 | minSumKSizeSubarray | mcdc | 100.00% | 3.27ms | 222.40MB | 2 cases
54 | nthManShanksPrime | statement | 100.00% | 2.00ms | 125.84MB | 1 cases
54 | nthManShanksPrime | branch | 100.00% | 1.81ms | 224.86MB | 1 cases
54 | nthManShanksPrime | mcdc | 100.00% | 1.90ms | 125.13MB | 1 cases



35 | buildPrefixSum | statement | 100.00% | 2.88ms | 225.62MB | 2 cases
35 | buildPrefixSum | branch | 100.00% | 3.03ms | 117.88MB | 2 cases
35 | buildPrefixSum | mcdc | 100.00% | 3.46ms | 219.37MB | 2 cases
36 | sumRange | statement | 100.00% | 2.10ms | 120.79MB | 3 cases
36 | sumRange | branch | 100.00% | 2.89ms | 223.29MB | 3 cases
36 | sumRange | mcdc | 100.00% | 3.40ms | 121.18MB | 5 cases
25 | cutRod | statement | 100.00% | 9.50ms | 224.43MB | 3 cases
25 | cutRod | branch | 100.00% | 10.18ms | 124.33MB | 3 cases
25 | cutRod | mcdc | 100.00% | 10.61ms | 229.31MB | 4 cases
29 | stdDev | statement | 100.00% | 4.17ms | 121.57MB | 1 cases
29 | stdDev | branch | 100.00% | 4.14ms | 221.06MB | 1 cases
29 | stdDev | mcdc | 100.00% | 3.75ms | 148.76MB | 1 cases
82 | subsetSum | statement | 92.31% | 5.73ms | 248.75MB | 2 cases
82 | subsetSum | branch | 83.33% | 5.73ms | 182.26MB | 2 cases
82 | subsetSum | mcdc | 87.50% | 5.98ms | 84.33MB | 2 cases
69 | isSubsetSum | statement | 83.33% | 6.13ms | 200.32MB | 3 cases
69 | isSubsetSum | branch | 75.00% | 73.22ms | 115.39MB | 4 cases
69 | isSubsetSum | mcdc | 80.00% | 88.88ms | 221.12MB | 4 cases
31 | subsetSum | statement | 77.78% | 2.21ms | 140.75MB | 3 cases
31 | subsetSum | branch | 83.33% | 2.75ms | 257.50MB | 4 cases
31 | subsetSum | mcdc | 80.00% | 3.69ms | 120.41MB | 5 cases
42 | isPairedSum | statement | 100.00% | 5.29ms | 227.41MB | 4 cases
